institution_number ;university ;university_name ;2009;2010;2011;2012;2013;2014;2015;2016
H01;CPUT;Cape Peninsula University of Technology;0.34;0.36;0.36;0.46;0.43;0.43;0.49;0.49
H02;UCT;University of Cape Town;2.13;2.20;2.24;2.38;2.56;2.49;2.47;2.65
H03;CUT;Central University of Technology;0.31;0.24;0.33;0.34;0.48;0.53;0.59;0.79
H04;DUT;Durban University of Technology;0.18;0.20;0.30;0.22;0.43;0.51;0.76;0.80
H05;FH;University of Fort Hare;0.84;1.25;1.49;1.53;1.37;1.75;1.94;2.14
H06;FS;University of Free State;1.27;1.30;1.39;1.26;1.26;1.41;1.52;1.83
H07;UJ;University of Johannesburg;1.04;1.13;1.42;1.47;1.43;1.39;1.75;2.04
H08;KZN;University of Kwazulu-Natal;1.39;1.47;1.49;1.77;2.08;2.35;2.66;2.93
H09;UL;University of Limpopo;0.33;0.33;0.37;0.55;0.54;0.55;0.95;0.79
H10;NMU;Nelson Mandela University;0.88;1.14;1.36;1.42;1.38;1.49;1.44;1.61
H11;NWU;North West University;1.19;1.22;1.20;1.41;1.69;1.6;1.67;1.77
H12;UP;University of Pretoria;1.39;1.412;2.03;2.14;2.39;2.78;3.23;3.06
H13;RU;Rhodes University;1.75;1.91;2.17;2.31;2.49;2.65;2.79;3.11
H14;UNISA;University of South Africa;0.67;0.70;0.83;1.05;1.21;1.57;1.48;1.62
H15;SU;University of Stellenbosch;2.30;2.36;2.38;3.06;2.97;3.03;2.92;3.10
H16 ;TUT;Tshwane University of Technology;0.41;0.43;0.54;0.58;0.57;0.66;0.68;0.77
H17;UNIVEN;University of Venda;0.29;0.46;0.61;0.48;0.57;0.71;0.94;0.92
H18;VUT;Vaal University of Technology;0.18;0.20;0.32;0.36;0.35;0.38;0.36;0.34
H19;WSU;Walter Sisulu University;0.05;0.09;0.11;0.13;0.12;0.1;0.18;0.16
H20;UWC;University of the Western Cape;1.11;1.31;1.48;1.51;1.75;1.71;1.64;1.53
H21;WITS;University of Witwatersrand;1.75;1.67;1.99;1.94;2.31;2.5;2.405;2.68
H22;UZ;University of Zululand;0.68;0.69;0.63;0.67;0.53;0.89;0.73;0.95
H23 ;SPU;Sol Plaatje University;0;0;0;0;0;0;0;0
H24;UMP;University of Mpumalanga;0;0;0;0;0;0;0;0.35
H25;MUT;Mangosuthu University of Technology;0.03;0.04;0.13;0.09;0.09;0.08;0.09;0.08
H26;SMHSU;Sefako Makgatho Health Science University;0;0;0;0;0;0;0.37;0.43
