institution_number ;university ;university_name ;2009_Surplus_Def;2010_Surplus_Def;2011_Surplus_Def;2012_Surplus_Def;2013_Surplus_Def;2014_Surplus_Def;2015_Surplus_Def;2016_Surplus_Def
H01;CPUT;Cape Peninsula University of Technology;0.033;0.061;0.075;0.078;0.028;0.063;-0.012;-0.033
H02;UCT;University of Cape Town;0.145;0.105;0.129;0.095;0.043;0.101;0.101;0.109
H03;CUT;Central University of Technology;0.12;0.16;0.115;0.076;0.046;-0.149;-0.026;0.092
H04;DUT;Durban University of Technology;0.071;0.127;0.115;0.123;0.068;0.069;0.084;0.173
H05;FH;University of Fort Hare;0.187;0.112;-0.002;0.075;-0.074;-0.121;0.076;-0.166
H06;FS;University of Free State;0.151;0.12;0.151;0.071;0.149;0.168;0.254;0.158
H07;UJ;University of Johannesburg;0.073;0.097;0.08;0.137;0.091;0.097;0.009;0.076
H08;KZN;University of Kwazulu-Natal;0.007;0.059;0.044;0.048;0.017;0.025;0.045;0.027
H09;UL;University of Limpopo;0.033;0.012;-0.007;-0.006;-0.12;0.062;0.143;-0.049
H10;NMU;Nelson Mandela University;0.162;0.134;0.126;0.119;0.067;0.133;0.088;0.032
H11;NWU;North West University;0.022;0.019;0.027;0.039;0.013;-0.025;0.023;0.074
H12;UP;University of Pretoria;0.206;0.135;0.121;0.112;-0.006;0.235;0.184;0.089
H13;RU;Rhodes University;0.04;0.046;0.085;0.103;-0.04;-0.011;0.122;0.051
H14;UNISA;University of South Africa;0.108;0.186;0.138;0.165;0.182;-0.07;-0.061;0.026
H15;SU;University of Stellenbosch;0.116;0.126;0.156;0.078;0.13;0.381;0.262;0.139
H16 ;TUT;Tshwane University of Technology;0.068;0.078;0.002;-0.003;0.015;0.051;0.07;-0.083
H17;UNIVEN;University of Venda;0.1;0.15;0.07;0.138;0.102;0.085;0.016;-0.019
H18;VUT;Vaal University of Technology;0.202;0.206;0.228;0.132;0.118;0.118;-0.031;-0.109
H19;WSU;Walter Sisulu University;-0.046;-0.128;0.052;-0.001;0.002;0.042;0,00;-0.022
H20;UWC;University of the Western Cape;0.163;0.091;0.114;0.089;0.134;0.119;0.07;0.023
H21;WITS;University of Witwatersrand;0.029;0.052;0.077;0.008;0.07;0.103;0.032;0.04
H22;UZ;University of Zululand;0.008;0.099;0.167;0.16;0.144;0.145;0.165;0.112
H23 ;SPU;Sol Plaatje University;0,00;0,00;0,00;0,00;0,00;0,00;0.067;0.105
H24;UMP;University of Mpumalanga;0,00;0,00;0,00;0,00;0,00;0,00;0.242;0.082
H25;MUT;Mangosuthu University of Technology;-0.073;-0.03;-0.013;-0.048;0.007;-0.024;-0.009;0.01
H26;SMHSU;Sefako Makgatho Health Science University;0,00;0,00;0,00;0,00;0,00;0,00;0.123;-0.279
