institution_number ;university;university_name ;Government funds_2009;Student fees__2009;Private income_2009;Government funds_2010;Student fees_2010;Private income_2010;Government funds_2011;Student fees_2011;Private income_2011;Government funds_2012;Student fees_2012;Private income_2012;Government funds_2013;Student fees_2013;Private income_2013;Government funds_2014;Student fees_2014;Private income_2014;Government funds_2015;Student fees_2015;Private income_2015;Government funds_2016;Student fees_2016;Private income_2016
H01;CPUT;Cape Peninsula University of Technology;0.51;0.31;0.18;0.5;0.3;0.2;0.51;0.32;0.18;0.5;0.33;0.17;0.44;0.31;0.25;0.48;0.34;0.18;0.46;0.36;0.17;0.46;0.36;0.18
H02;UCT;University of Cape Town;0.32;0.26;0.41;0.35;0.26;0.39;0.37;0.27;0.35;0.33;0.27;0.4;0.34;0.29;0.37;0.32;0.28;0.4;0.3;0.29;0.41;0.3;0.26;0.44
H03;CUT;Central University of Technology;0.54;0.34;0.12;0.55;0.33;0.13;0.55;0.34;0.12;0.54;0.32;0.14;0.59;0.34;0.07;0.54;0.39;0.07;0.5;0.39;0.11;0.51;0.41;0.08
H04;DUT;Durban University of Technology;0.56;0.33;0.11;0.53;0.33;0.14;0.53;0.35;0.12;0.53;0.33;0.14;0.5;0.39;0.11;0.5;0.43;0.07;0.47;0.44;0.09;0.48;0.37;0.16
H05;FH;University of Fort Hare;0.48;0.25;0.26;0.34;0.31;0.35;0.39;0.38;0.23;0.36;0.37;0.26;0.38;0.42;0.2;0.39;0.46;0.15;0.55;0.3;0.15;0.53;0.45;0.02
H06;FS;University of Free State;0.45;0.26;0.3;0.46;0.28;0.26;0.46;0.29;0.25;0.48;0.31;0.22;0.46;0.31;0.23;0.51;0.36;0.13;0.48;0.36;0.16;0.39;0.34;0.27
H07;UJ;University of Johannesburg;0.43;0.36;0.21;0.42;0.36;0.22;0.44;0.4;0.16;0.41;0.39;0.21;0.41;0.38;0.21;0.39;0.4;0.22;0.4;0.43;0.17;0.38;0.37;0.25
H08;KZN;University of Kwazulu-Natal;0.41;0.23;0.36;0.44;0.24;0.32;0.46;0.23;0.31;0.42;0.25;0.33;0.44;0.29;0.27;0.44;0.33;0.23;0.38;0.36;0.27;0.43;0.35;0.22
H09;UL;University of Limpopo;0.55;0.32;0.13;0.53;0.32;0.15;0.52;0.35;0.13;0.49;0.38;0.13;0.45;0.44;0.1;0.49;0.42;0.09;0.45;0.45;0.1;0.43;0.42;0.16
H10;NMU;Nelson Mandela University;0.43;0.28;0.29;0.42;0.29;0.29;0.43;0.29;0.27;0.42;0.29;0.29;0.42;0.3;0.28;0.4;0.3;0.29;0.37;0.32;0.31;0.39;0.3;0.3
H11;NWU;North West University;0.41;0.27;0.32;0.45;0.28;0.27;0.43;0.29;0.28;0.41;0.26;0.33;0.39;0.28;0.32;0.4;0.31;0.29;0.39;0.33;0.28;0.4;0.32;0.27
H12;UP;University of Pretoria;0.31;0.25;0.44;0.33;0.27;0.4;0.37;0.28;0.35;0.34;0.27;0.39;0.37;0.32;0.31;0.3;0.28;0.41;0.29;0.32;0.39;0.33;0.31;0.36
H13;RU;Rhodes University;0.37;0.37;0.26;0.39;0.36;0.25;0.39;0.36;0.25;0.38;0.39;0.24;0.39;0.4;0.21;0.39;0.4;0.21;0.36;0.38;0.27;0.41;0.39;0.2
H14;UNISA;University of South Africa;0.3;0.43;0.27;0.31;0.43;0.27;0.33;0.47;0.21;0.35;0.44;0.21;0.32;0.46;0.22;0.35;0.49;0.16;0.39;0.51;0.1;0.45;0.39;0.17
H15;SU;University of Stellenbosch;0.36;0.2;0.44;0.36;0.2;0.44;0.36;0.21;0.43;0.36;0.24;0.41;0.33;0.24;0.42;0.25;0.18;0.57;0.31;0.25;0.44;0.34;0.21;0.45
H16 ;TUT;Tshwane University of Technology;0.51;0.33;0.16;0.55;0.31;0.14;0.57;0.31;0.12;0.56;0.31;0.13;0.54;0.33;0.12;0.55;0.36;0.09;0.51;0.4;0.09;0.52;0.38;0.09
H17;UNIVEN;University of Venda;0.47;0.42;0.11;0.49;0.37;0.14;0.51;0.38;0.11;0.5;0.37;0.13;0.46;0.4;0.14;0.45;0.44;0.1;0.44;0.42;0.14;0.46;0.43;0.11
H18;VUT;Vaal University of Technology;0.53;0.35;0.12;0.55;0.35;0.1;0.52;0.37;0.12;0.52;0.35;0.13;0.51;0.3;0.19;0.53;0.3;0.17;0.55;0.32;0.14;0.52;0.34;0.15
H19;WSU;Walter Sisulu University;0.62;0.36;0.02;0.66;0.31;0.03;0.6;0.33;0.06;0.63;0.25;0.12;0.61;0.37;0.01;0.58;0.4;0.02;0.54;0.44;0.01;0.54;0.44;0.02
H20;UWC;University of the Western Cape;0.46;0.23;0.31;0.49;0.26;0.24;0.49;0.25;0.25;0.49;0.26;0.25;0.49;0.28;0.23;0.47;0.28;0.25;0.46;0.28;0.26;0.48;0.26;0.26
H21;WITS;University of Witwatersrand;0.24;0.22;0.54;0.25;0.23;0.51;0.27;0.26;0.48;0.25;0.27;0.48;0.26;0.29;0.45;0.26;0.29;0.46;0.34;0.27;0.39;0.22;0.29;0.48
H22;UZ;University of Zululand;0.4;0.32;0.28;0.49;0.37;0.14;0.52;0.35;0.13;0.44;0.36;0.19;0.46;0.38;0.16;0.45;0.38;0.18;0.45;0.38;0.17;0.48;0.35;0.17
H23 ;SPU;Sol Plaatje University;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.77;0.17;0.06;0.76;0.18;0.05
H24;UMP;University of Mpumalanga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.61;0.14;0.25;0.74;0.19;0.06
H25;MUT;Mangosuthu University of Technology;0.54;0.36;0.1;0.53;0.41;0.06;0.56;0.4;0.04;0.52;0.27;0.21;0.52;0.25;0.23;0.51;0.25;0.24;0.48;0.27;0.24;0.45;0.3;0.25
H26;SMHSU;Sefako Makgatho Health Science University;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.68;0.27;0.05;0.59;0.31;0.1
